种植业II [['600598.XSHG', '北大荒', 279.8068], ['601118.XSHG', '海南橡胶', 250.7745], ['000998.XSHE', '隆平高科', 140.3323], ['601952.XSHG', '苏垦农发', 128.2918], ['002215.XSHE', '诺普信', 109.9679]]
休闲食品II [['300972.XSHE', '万辰集团', 395.1797], ['002847.XSHE', '盐津铺子', 198.2054], ['002557.XSHE', '洽洽食品', 113.8174], ['603057.XSHG', '紫燕食品', 112.6825], ['603043.XSHG', '广州酒家', 99.9899]]
出版II [['601928.XSHG', '凤凰传媒', 256.2714], ['300364.XSHE', '中文在线', 212.3578], ['601098.XSHG', '中南传媒', 203.4868], ['601019.XSHG', '山东出版', 184.2733], ['601811.XSHG', '新华文轩', 181.0045]]
焦炭II [['000723.XSHE', '美锦能源', 218.4133], ['600740.XSHG', '山西焦化', 102.2286], ['601015.XSHG', '陕西黑猫', 82.7212], ['601011.XSHG', '宝泰隆', 66.8567], ['600725.XSHG', '云维股份', 51.5172]]
纺织制造II [['300979.XSHE', '华利集团', 589.335], ['002083.XSHE', '孚日股份', 124.1044], ['002003.XSHE', '伟星股份', 123.6445], ['300918.XSHE', '南山智尚', 98.0889], ['601339.XSHG', '百隆东方', 89.5243]]
非白酒II [['600600.XSHG', '青岛啤酒', 848.2565], ['000729.XSHE', '燕京啤酒', 343.8618], ['600132.XSHG', '重庆啤酒', 253.5525], ['002568.XSHE', '百润股份', 231.1001], ['002461.XSHE', '珠江啤酒', 210.9302]]
工程咨询服务II [['600629.XSHG', '华建集团', 238.7033], ['600667.XSHG', '太极实业', 176.1079], ['300492.XSHE', '华图山鼎', 173.4137], ['600720.XSHG', '中交设计', 167.5055], ['301091.XSHE', '深城交', 145.7402]]
渔业II [['300094.XSHE', '国联水产', 46.2549], ['000798.XSHE', '中水渔业', 44.9274], ['600467.XSHG', '好当家', 39.739000000000004], ['600257.XSHG', '大湖股份', 35.6116], ['600097.XSHG', '开创国际', 28.551]]
视听器材II [['600839.XSHG', '四川长虹', 435.7735], ['002429.XSHE', '兆驰股份', 350.8379], ['600060.XSHG', '海信视像', 317.1083], ['000801.XSHE', '四川九洲', 181.41400000000002], ['000810.XSHE', '创维数字', 142.8136]]
影视院线II [['300251.XSHE', '光线传媒', 507.8042], ['600977.XSHG', '中国电影', 305.6279], ['002739.XSHE', '万达电影', 241.7987], ['300133.XSHE', '华策影视', 171.0774], ['300182.XSHE', '捷成股份', 161.1615]]
专业零售II [['002416.XSHE', '爱施德', 169.03799999999998], ['301078.XSHE', '孩子王', 138.7323], ['000829.XSHE', '天音控股', 116.1439], ['300755.XSHE', '华致酒行', 74.2318], ['300622.XSHE', '博士眼镜', 73.8475]]
通信运营II [['600941.XSHG', '中国移动', 21670.5801], ['601728.XSHG', '中国电信', 5783.2512], ['600050.XSHG', '中国联通', 1694.5319], ['300442.XSHE', '润泽科技', 1130.9658], ['300383.XSHE', '光环新网', 271.9758]]
饮料乳品II [['600887.XSHG', '伊利股份', 1750.8598], ['605499.XSHG', '东鹏饮料', 1441.996], ['603156.XSHG', '养元饮品', 415.8916], ['002946.XSHE', '新乳业', 160.9466], ['300997.XSHE', '欢乐家', 130.8483]]
专用设备II [['002837.XSHE', '英维克', 997.9424], ['002353.XSHE', '杰瑞股份', 782.2259], ['002595.XSHE', '豪迈科技', 672.8], ['301200.XSHE', '大族数控', 556.6936], ['601399.XSHG', '国机重装', 447.9618]]
塑料II [['688585.XSHG', '上纬新材', 580.8006], ['600143.XSHG', '金发科技', 551.2056], ['300487.XSHE', '蓝晓科技', 339.7299], ['601208.XSHG', '东材科技', 280.4915], ['002324.XSHE', '普利特', 253.6127]]
家用轻工II [['603268.XSHG', '*ST松发', 857.1972], ['603195.XSHG', '公牛集团', 751.1864], ['603833.XSHG', '欧派家居', 320.4753], ['001386.XSHE', '马可波罗', 277.9384], ['603816.XSHG', '顾家家居', 258.7572]]
其他交运设备II [['601777.XSHG', '千里科技', 548.4094], ['603129.XSHG', '春风动力', 408.6182], ['689009.XSHG', '九号公司', 407.2777], ['603766.XSHG', '隆鑫通用', 310.7009], ['301345.XSHE', '涛涛车业', 273.4733]]
电机II [['600580.XSHG', '卧龙电驱', 753.2531], ['003021.XSHE', '兆威机电', 310.3692], ['603728.XSHG', '鸣志电器', 306.8733], ['002249.XSHE', '大洋电机', 268.4222], ['600416.XSHG', '湘电股份', 249.85]]
油气开采II [['600938.XSHG', '中国海油', 13660.1088], ['600777.XSHG', '*ST新潮', 268.6196], ['600759.XSHG', '洲际油气', 145.6302], ['000968.XSHE', '蓝焰控股', 67.7252]]
自动化设备II [['300124.XSHE', '汇川技术', 2119.3181], ['000988.XSHE', '华工科技', 834.8689], ['300757.XSHE', '罗博特科', 485.7451], ['002008.XSHE', '大族激光', 457.1439], ['688777.XSHG', '中控技术', 424.3941]]
个护用品II [['300888.XSHE', '稳健医疗', 228.0986], ['002511.XSHE', '中顺洁柔', 107.7985], ['603193.XSHG', '润本股份', 101.0674], ['003006.XSHE', '百亚股份', 91.1713], ['605009.XSHG', '豪悦护理', 68.1759]]
橡胶II [['603650.XSHG', '彤程新材', 355.0014], ['603033.XSHG', '三维股份', 113.6342], ['605183.XSHG', '确成股份', 82.7192], ['300587.XSHE', '天铁科技', 80.1032], ['300731.XSHE', '科创新源', 70.0685]]
服装家纺II [['600177.XSHG', '雅戈尔', 348.1452], ['600398.XSHG', '海澜之家', 295.3704], ['601718.XSHG', '际华集团', 153.9458], ['002563.XSHE', '森马服饰', 146.0197], ['300005.XSHE', '探路者', 104.4536]]
文娱用品II [['603899.XSHG', '晨光股份', 256.3982], ['301101.XSHE', '明月镜片', 87.7787], ['002678.XSHE', '珠江钢琴', 73.8926], ['001238.XSHE', '浙江正特', 60.5742], ['002301.XSHE', '齐心集团', 57.92100000000001]]
城商行II [['600919.XSHG', '江苏银行', 1908.5377], ['002142.XSHE', '宁波银行', 1858.9108], ['601229.XSHG', '上海银行', 1408.1129], ['601009.XSHG', '南京银行', 1338.9743], ['601169.XSHG', '北京银行', 1164.9784]]
小家电II [['603486.XSHG', '科沃斯', 483.2835], ['688169.XSHG', '石头科技', 423.61300000000006], ['002032.XSHE', '苏泊尔', 354.76199999999994], ['603868.XSHG', '飞科电器', 182.56], ['603355.XSHG', '莱克电气', 175.8606]]
